Number of attempt,Reward,Time taken,Number of actions
0,-538,300.3346434,1039
1,-1030,300.4320226,1031
2,-1008,300.2099068,1008
3,-971,300.2186418,971
4,9587,130.9024341,414
5,-938,300.2061777,938
6,-418,300.4724956,919
7,-891,300.4640574,892
8,-883,300.480885,884
9,-372,300.4313264,873
10,-860,300.4710779,861
11,-848,300.4885917,849
12,9861,50.1245029,139
13,-816,300.2609553,816
14,-309,300.4248643,810
15,-297,300.3067031,797
16,-791,300.3769324,791
17,-789,300.4738855,790
18,-289,300.4146192,790
19,-283,300.5729249,784
20,-775,300.3768477,776
21,-772,300.6222806,773
22,-770,300.304749,770
23,-251,300.3811069,751
24,-729,300.7076781,730
25,9331,277.130451,670
26,-218,300.2893729,718
27,-215,300.3969424,716
28,285,300.5774667,716
29,-719,300.5787182,720
