Number of attempt,Reward,Time taken,Number of actions
0,-717,300.7168813,718
1,-568,300.6404548,569
2,396,300.4644115,604
3,10428,42.64057684,73
4,10219,165.167798,282
5,-508,300.612649,509
6,-451,301.1172433,452
7,-487,300.7565215,488
8,-473,300.6740124,474
9,62,300.7144768,439
10,40,301.0321727,461
11,-407,301.0530169,408
12,-196,141.9775014,196
13,-414,300.6367302,414
14,-413,301.0888159,414
15,92,301.1088529,409
16,622,301.2398775,379
17,-364,299.5337837,365
18,-335,300.9017437,336
19,-323,301.6406138,324
20,-361,301.3157356,362
21,111,300.7772796,389
22,11267,184.8265967,233
23,188,301.1152699,313
24,9705,248.9525547,296
25,9747,203.2732711,254
26,156,301.2393558,345
27,160,301.3879774,341
28,11222,250.7008638,279
29,139,300.8773034,362
