Number of attempt,Reward,Time taken,Number of actions
0,-1016.0,300.41953229904175,1017
1,10085.0,289.70026302337646,916
2,118.0,300.41753792762756,882
3,-865.0,300.5823802947998,866
4,-861.0,300.3856222629547,861
5,736.0,300.39399337768555,764
6,9876.0,53.01106810569763,124
7,-696.0,300.62427735328674,697
8,11663.0,149.34071922302246,338
9,-658.0,300.372763633728,658
10,-654.0,300.70395016670227,655
11,-653.0,300.50424551963806,654
12,-153.0,300.7287299633026,654
13,-650.0,300.7740819454193,651
14,-148.0,300.29790806770325,648
15,-643.0,300.6949291229248,644
16,883.0,55.892457246780396,118
17,-633.0,300.37289571762085,633
18,-630.0,300.4827768802643,630
19,-631.0,300.35744881629944,631
20,9880.0,297.1727957725525,621
21,10043.0,221.84909558296204,458
22,327.0,84.76746702194214,174
23,-611.0,300.68259835243225,612
24,-113.0,300.7986454963684,614
25,-612.0,300.41128039360046,612
26,-612.0,300.6916890144348,613
27,1145.0,175.52715969085693,356
28,194.0,150.9386751651764,306
29,-604.0,300.37517404556274,604
