Number of attempt,Reward,Time taken,Number of actions
0,-538.0,300.33464336395264,1039
1,-1030.0,300.4320225715637,1031
2,-1008.0,300.20990681648254,1008
3,-971.0,300.2186417579651,971
4,-413.0,130.90243411064148,414
5,-938.0,300.2061777114868,938
6,-418.0,300.4724955558777,919
7,-891.0,300.4640574455261,892
8,-883.0,300.4808850288391,884
9,-372.0,300.43132638931274,873
10,-860.0,300.47107791900635,861
11,-848.0,300.48859167099,849
12,9861.0,50.12450289726257,139
13,-816.0,300.2609553337097,816
14,-309.0,300.4248642921448,810
15,-297.0,300.3067030906677,797
16,-791.0,300.3769323825836,791
17,-789.0,300.47388553619385,790
18,-289.0,300.4146192073822,790
19,-283.0,300.5729248523712,784
20,-775.0,300.37684774398804,776
21,-772.0,300.62228059768677,773
22,-770.0,300.3047490119934,770
23,-251.0,300.3811068534851,751
24,-729.0,300.7076780796051,730
25,9331.0,277.130450963974,670
26,-218.0,300.28937292099,718
27,-215.0,300.39694237709045,716
28,285.0,300.5774667263031,716
29,-719.0,300.5787181854248,720
