Number of attempt,Reward,Time taken,Number of actions
0,33.0,300.2315425872803,967
1,-892.0,300.53258299827576,893
2,-859.0,300.30794644355774,859
3,-333.0,300.29934573173523,833
4,-331.0,300.45005774497986,832
5,-824.0,300.32670760154724,824
6,-311.0,300.57820439338684,812
7,-796.0,300.3887803554535,796
8,11263.0,298.81589221954346,738
9,380.0,53.147412061691284,120
10,10386.0,50.506134033203125,114
11,-680.0,300.65028858184814,681
12,10744.0,116.36075854301453,257
13,-158.0,300.37060737609863,658
14,11208.0,134.59481811523438,293
15,863.0,300.4114947319031,637
16,-626.0,300.5501375198364,627
17,-124.0,300.804655790329,625
18,-617.0,300.3885655403137,617
19,10733.0,131.07423734664917,268
20,-613.0,300.3951225280762,613
21,566.0,215.3052635192871,435
22,10760.0,121.217116355896,241
23,-598.0,300.47872138023376,598
24,-96.0,300.47105288505554,596
25,905.0,300.37319898605347,595
26,-594.0,300.6342270374298,595
27,-94.0,300.52655124664307,595
28,-95.0,300.37414503097534,595
29,1406.0,300.49866700172424,594
