,Number of attempt,Reward,Time taken,Number of actions
0,0,-1005.0,300.2019155025482,1005
1,1,-471.0,300.3687176704407,972
2,2,-947.0,300.5052149295807,948
3,3,-922.0,300.472375869751,923
4,4,146.0,119.34537267684937,354
5,5,-353.0,300.27235317230225,853
6,6,10721.0,285.6662676334381,780
7,7,-265.0,300.2943980693817,765
8,8,-476.0,190.1255669593811,477
9,9,-745.0,300.49645137786865,746
10,10,429.0,29.413387060165405,72
11,11,-234.0,300.36547446250916,734
12,12,-734.0,300.39629077911377,734
13,13,-733.0,300.574960231781,734
14,14,797.0,300.4963731765747,703
15,15,-661.0,300.57270860671997,662
16,16,-159.0,300.35943818092346,659
17,17,-158.0,300.52369451522827,659
18,18,-158.0,300.4498734474182,658
19,19,9834.0,76.62999892234802,167
20,20,-652.0,300.7964518070221,653
21,21,-148.0,300.73595213890076,649
22,22,-648.0,300.78848814964294,649
23,23,-142.0,300.4116635322571,642
24,24,-627.0,300.3694508075714,627
25,25,-129.0,300.6826112270355,630
26,26,-618.0,300.4494333267212,618
27,27,-117.0,300.4937505722046,617
28,28,-615.0,300.6773979663849,616
29,29,-615.0,300.76524567604065,616
