,Number of attempt,Reward,Time taken,Number of actions
0,0,-508.0,300.3172085285187,1008
1,1,1656.0,300.46188044548035,845
2,2,-258.0,300.5629858970642,759
3,3,-234.0,300.61020040512085,735
4,4,-730.0,300.5806419849396,731
5,5,-217.0,300.3120701313019,717
6,6,-703.0,300.3430986404419,703
7,7,-702.0,300.67974185943604,703
8,8,-696.0,300.5389051437378,697
9,9,847.0,296.29583191871643,654
10,10,-141.0,300.6853106021881,642
11,11,-637.0,300.57796597480774,638
12,12,-132.0,300.48834776878357,633
13,13,374.0,300.6882929801941,627
14,14,10191.0,149.92137050628662,310
15,15,-619.0,300.4409730434418,619
16,16,-619.0,300.6802337169647,620
17,17,384.0,300.54581022262573,617
18,18,11004.0,245.26356554031372,497
19,19,1961.0,270.14198899269104,540
20,20,-598.0,300.71246457099915,599
21,21,-99.0,300.4056513309479,599
22,22,903.0,300.3002779483795,597
23,23,-596.0,300.4639811515808,596
24,24,-592.0,300.52805185317993,593
25,25,-94.0,300.42584323883057,594
26,26,-592.0,300.7026996612549,593
27,27,-592.0,300.79564809799194,593
28,28,-593.0,300.5624566078186,594
29,29,-596.0,300.3499186038971,596
