,Number of attempt,Reward,Time taken,Number of actions
0,0,-1013.0,300.2072341442108,1013
1,1,62.0,300.51136350631714,939
2,2,701.0,300.19157242774963,799
3,3,-265.0,300.48168683052063,766
4,4,-257.0,300.3283543586731,757
5,5,-738.0,300.6545271873474,739
6,6,779.0,300.6631660461426,722
7,7,-205.0,300.36761593818665,705
8,8,-422.0,183.0771758556366,423
9,9,-684.0,300.4385108947754,684
10,10,831.0,300.5895059108734,670
11,11,-659.0,300.4091727733612,659
12,12,1814.0,85.95659017562866,186
13,13,-645.0,300.4925594329834,646
14,14,359.0,300.48821926116943,641
15,15,-638.0,300.69463753700256,639
16,16,363.0,300.66658210754395,638
17,17,863.0,300.7808804512024,638
18,18,-636.0,300.5538580417633,637
19,19,367.0,300.3861873149872,633
20,20,378.0,300.5887725353241,623
21,21,-622.0,300.4911127090454,623
22,22,9875.0,61.47453165054321,126
23,23,-616.0,300.53006887435913,617
24,24,-616.0,300.46073150634766,617
25,25,-116.0,300.7378604412079,617
26,26,-615.0,300.5586025714874,616
27,27,-114.0,300.7667226791382,615
28,28,398.0,300.5507593154907,602
29,29,-597.0,300.41647958755493,597
