Number of attempt,Reward,Time taken,Number of actions
0,-1071,300.1809437,1071
1,9771,68.65462255,230
2,-437,300.3011239,938
3,631,300.3035734,869
4,-326,300.2463813,826
5,9826,67.85006928,185
6,-810,300.2272604,810
7,-807,300.4616666,808
8,-802,300.6198611,803
9,-283,300.5556912,784
10,-751,300.3071315,751
11,10806,79.46751952,195
12,10038,192.0196993,463
13,-717,300.2770863,717
14,-214,300.5914412,715
15,-210,300.5171807,711
16,-704,300.3882375,705
17,-699,300.304023,699
18,309,300.2955678,691
19,-689,300.2618806,689
20,316,300.3285196,684
21,-679,300.55794,680
22,9576,188.2364664,425
23,328,300.4931252,673
24,-666,300.689436,667
25,-165,300.3323896,665
26,-665,300.5016947,666
27,-664,300.7312145,665
28,10378,281.9973857,623
29,350,300.3811283,650
