Number of attempt,Reward,Time taken,Number of actions
0,10317,215.2168889,684
1,-838,300.4770498,839
2,-819,300.3141847,820
3,-307,300.2100747,807
4,9990,197.5698371,510
5,554,182.86361,447
6,-716,300.3257875,716
7,10920,34.35791445,81
8,-700,300.5942023,701
9,-695,300.5853724,696
10,9940,26.91054058,61
11,-688,300.4703798,689
12,-684,300.4021039,684
13,334,300.5569344,667
14,-661,300.7375143,662
15,340,300.3670721,660
16,344,300.679924,657
17,9589,190.0819268,411
18,-146,300.4703221,647
19,-147,300.4380183,647
20,-146,300.7573068,647
21,-643,300.5738473,644
22,10233,125.8272281,267
23,863,300.7267852,638
24,-632,300.4979911,633
25,-632,300.5652602,633
26,-130,300.6270981,631
27,9449,265.4479992,552
28,376,300.7546182,625
29,-624,300.2871058,624
