Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-143,300.780144,644,1
1,-140,300.340466,640,1
2,-76,300.5179491,576,1
3,-523,300.5110002,523,0
4,-15,300.8018456,516,1
5,-502,300.9103837,503,0
6,-495,300.5950511,496,0
7,-510,300.6405206,511,0
8,514,300.6720943,487,2
9,44,300.6484842,457,1
10,26,300.9001191,475,1
11,73,300.5665264,427,1
12,62,300.7254269,439,1
13,-448,301.0138209,449,0
14,55,300.6044071,445,1
15,583,301.1494505,418,2
16,80,300.844197,421,1
17,584,300.7204726,417,2
18,95,301.191046,406,1
19,584,301.0515983,417,2
20,130,301.0825374,371,1
21,97,300.7238634,404,1
22,115,301.0927005,386,1
23,99,301.0022287,402,1
24,-397,301.0276992,398,0
25,90,300.960129,411,1
26,83,300.7945025,418,1
27,98,301.3590307,403,1
28,152,301.2796466,349,1
29,141,300.5424461,360,1
