Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-578,300.3976073,1079,1
1,-1021,300.4938264,1022,0
2,-476,300.3250487,977,1
3,-422,300.2365971,922,1
4,-416,300.2780926,916,1
5,-898,300.4715898,899,0
6,-393,300.4702818,894,1
7,-391,300.4151192,892,1
8,-390,300.3653033,890,1
9,-887,300.4712203,888,0
10,-386,300.2387061,886,1
11,-381,300.3628428,882,1
12,-367,300.4970267,868,1
13,-367,300.4284341,868,1
14,-867,300.4215221,868,0
15,-367,300.3786366,868,1
16,-367,300.4117341,868,1
17,-366,300.4096546,867,1
18,-368,300.396745,869,1
19,-367,300.5006227,868,1
20,-367,300.3598237,868,1
21,-367,300.2496457,867,1
22,-367,300.3101459,867,1
23,134,300.2485631,866,2
24,-862,300.3849776,863,0
25,-361,300.264678,861,1
26,-864,300.3026209,864,0
27,-355,300.3096144,855,1
28,-346,300.4348707,847,1
29,-347,300.5562141,848,1
