Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-636,300.440182,636,0
1,-130,300.6616507,631,1
2,-108,300.4343185,608,1
3,-89,300.3876138,589,1
4,-74,300.558512,575,1
5,-537,300.5219264,537,0
6,1,300.3868468,499,1
7,1000,300.6392264,501,2
8,-494,300.8506298,495,0
9,525,300.7594762,476,2
10,-463,300.6736736,464,0
11,68,301.0292754,433,1
12,76,301.0098555,425,1
13,553,300.8413429,448,2
14,90,300.9420319,411,1
15,94,300.4284482,406,1
16,21,300.7864213,480,1
17,45,300.7905347,456,1
18,61,300.9410405,440,1
19,58,301.0368338,443,1
20,-438,300.8495204,439,0
21,545,301.0521591,456,2
22,-438,301.182945,439,0
23,61,300.9832406,440,1
24,50,300.8619995,451,1
25,55,301.0061996,446,1
26,9,300.6140859,492,1
27,-24,300.7432816,525,1
28,-21,300.7088666,522,1
29,24,300.609838,477,1
