Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-610,300.6023901,611,0
1,-77,300.90293,578,1
2,-72,300.7104573,573,1
3,-60,300.7866542,561,1
4,-53,300.6879759,554,1
5,-49,300.9311566,550,1
6,-538,301.0168905,539,0
7,-5,300.9567959,506,1
8,0,300.9176071,501,1
9,106,300.957432,395,1
10,107,300.8720262,394,1
11,132,301.6340914,369,1
12,124,300.9673502,377,1
13,99,300.6123064,402,1
14,97,300.6068175,404,1
15,585,300.9719822,416,2
16,88,300.949214,413,1
17,74,300.5527735,426,1
18,90,300.909153,411,1
19,0,300.6683023,0,0
20,79,300.8712423,422,1
21,68,300.7630215,433,1
22,68,300.9810114,433,1
23,101,300.7802539,400,1
24,588,301.0317523,412,2
25,593,300.6544957,407,2
26,-397,300.7153354,397,0
27,97,300.5752881,403,1
28,107,300.9671583,394,1
29,126,300.8173153,375,1
