Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-1028,300.2979453,1029,0
1,-500,300.2542787,1001,1
2,-488,300.2907593,989,1
3,-479,300.3258412,979,1
4,-473,300.2390449,973,1
5,-472,300.2029841,972,1
6,34,300.3177674,966,2
7,74,300.2398357,926,2
8,-393,300.1608098,893,1
9,127,300.4333398,874,2
10,-347,300.2563696,847,1
11,-343,300.2867148,843,1
12,-839,300.2700958,839,0
13,-338,300.3481073,838,1
14,-838,300.2665207,838,0
15,-338,300.4141533,839,1
16,163,300.2113776,837,2
17,-830,300.2479577,830,0
18,-326,300.4865069,827,1
19,173,300.2521963,827,2
20,-324,300.2571032,824,1
21,-324,300.4648669,825,1
22,-324,300.4446433,825,1
23,-325,300.1958137,825,1
24,-800,300.2444954,800,0
25,177,300.3787167,823,2
26,-325,300.256995,825,1
27,-824,300.5993061,825,0
28,-324,300.3581088,825,1
29,-323,300.3963096,824,1
