Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-500,300.2421813,1000,1
1,-980,300.4842286,981,0
2,-421,300.2654262,921,1
3,-412,300.2544005,912,1
4,-411,300.4656804,912,1
5,-403,300.4984744,904,1
6,614,300.4773176,887,3
7,-359,300.4815621,860,1
8,-342,300.4807553,843,1
9,-332,300.3153751,832,1
10,-825,300.4113107,826,0
11,192,300.4821005,809,2
12,-289,300.3923938,789,1
13,-284,300.4689221,785,1
14,-286,300.404175,786,1
15,-279,300.5003047,780,1
16,-270,300.5468299,771,1
17,-272,300.3654578,772,1
18,-770,300.5149648,771,0
19,-771,300.5784848,772,0
20,230,300.2841899,770,2
21,-766,300.2451358,766,0
22,-265,300.5420322,766,1
23,-266,300.4305012,767,1
24,-266,300.2846839,766,1
25,-266,300.3198843,766,1
26,-766,300.2914066,766,0
27,-266,300.6495266,767,1
28,-766,300.588093,767,0
29,-266,300.253587,766,1
