Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-1155,300.339489,1156,0
1,-489,300.2482638,989,1
2,-974,300.3126941,974,0
3,-466,300.177228,966,1
4,-441,300.1708097,941,1
5,-930,300.2655611,930,0
6,-420,300.2123852,920,1
7,-918,300.2499225,918,0
8,-419,300.4774277,920,1
9,-919,300.3945081,920,0
10,-920,300.2762091,920,0
11,-919,300.3218329,919,0
12,-420,300.2463758,920,1
13,-419,300.3990462,920,1
14,-419,300.3723295,920,1
15,-919,300.4550171,920,0
16,-418,300.3006444,919,1
17,-417,300.4091411,918,1
18,-917,300.2711723,918,0
19,-415,300.2927587,916,1
20,-418,300.3810191,919,1
21,-919,300.4101305,920,0
22,-418,300.4058912,919,1
23,-419,300.4962308,920,1
24,-419,300.2841077,919,1
25,-912,300.3268163,913,0
26,-914,300.377739,915,0
27,-913,300.3160968,913,0
28,117,300.306962,883,2
29,-350,300.3730185,851,1
