Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-551,300.269721,1051,1
1,-995,300.2627747,995,0
2,-960,300.2266791,960,0
3,-424,300.3015907,924,1
4,-422,300.25264,922,1
5,-912,300.281791,912,0
6,-389,300.3784103,890,1
7,-389,300.2378843,889,1
8,-391,300.3403378,891,1
9,-389,300.3100002,890,1
10,-386,300.2494674,886,1
11,-365,300.1838496,865,1
12,-871,300.5491157,872,0
13,-367,300.3975739,868,1
14,-365,300.3051493,865,1
15,-363,300.591948,864,1
16,-863,300.3028677,863,0
17,-362,300.2029045,862,1
18,-361,300.3836811,862,1
19,-360,300.2465987,860,1
20,-862,300.2054052,862,0
21,-361,300.4624479,862,1
22,-361,300.3517466,862,1
23,145,300.5517507,856,2
24,-346,300.2779419,846,1
25,-345,300.5629935,846,1
26,-845,300.5069213,846,0
27,-844,300.2974107,844,0
28,-334,300.4801135,835,1
29,-340,300.4951365,841,1
