Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-985,300.3796976,986,0
1,-432,300.4742095,933,1
2,-368,300.4547687,869,1
3,-341,300.4283733,842,1
4,-333,300.3156548,833,1
5,-333,300.3513269,833,1
6,669,300.4913423,832,3
7,-330,300.5087197,831,1
8,-327,300.2991934,827,1
9,-326,300.3402257,826,1
10,-326,300.259213,826,1
11,-313,300.3037338,813,1
12,-297,300.5814993,798,1
13,203,300.5768104,798,2
14,-296,300.2676625,796,1
15,-297,300.2490361,797,1
16,-297,300.218509,797,1
17,209,300.3958538,792,2
18,213,300.2692702,787,2
19,-289,300.3701162,789,1
20,-289,300.2502062,789,1
21,-289,300.5827589,790,1
22,-292,300.3049324,792,1
23,-292,300.4779401,793,1
24,-286,300.5121891,787,1
25,-290,300.4404833,791,1
26,-283,300.445827,784,1
27,-289,300.2935405,789,1
28,-287,300.4808676,788,1
29,-294,300.5731816,795,1
