Number of attempt,Reward,Time taken,Number of actions
0,-543.0,300.3396737575531,1044
1,-482.0,300.3604881763458,983
2,-460.0,300.25321912765503,960
3,-475.0,300.40929079055786,976
4,-465.0,300.3376040458679,965
5,-463.0,300.1358654499054,963
6,-463.0,300.2824249267578,964
7,-458.0,300.19895458221436,958
8,-446.0,300.1839599609375,946
9,-444.0,300.33780241012573,944
10,-442.0,300.51345682144165,943
11,-940.0,300.2971076965332,941
12,-435.0,300.2123558521271,935
13,-430.0,300.25680565834045,930
14,-429.0,300.2930338382721,930
15,-428.0,300.2159581184387,928
16,-408.0,300.2984480857849,908
17,-889.0,300.25698614120483,889
18,-886.0,300.15440821647644,886
19,-385.0,300.41791248321533,886
20,-386.0,300.29475593566895,886
21,-385.0,300.5702781677246,886
22,-380.0,300.40690183639526,881
23,-859.0,300.5346636772156,860
24,-360.0,300.2017226219177,860
25,-358.0,300.19175386428833,858
26,-360.0,300.45264649391174,861
27,-360.0,300.250141620636,860
28,-360.0,300.2782130241394,860
29,-359.0,300.2697424888611,859
