,Number of attempt,Reward,Time taken,Number of actions
0,0,-483.0,300.40972447395325,984
1,1,-456.0,300.46518087387085,957
2,2,-904.0,300.2382843494415,904
3,3,-365.0,300.3928208351135,866
4,4,-362.0,300.34090924263,862
5,5,-354.0,300.3076431751251,854
6,6,-353.0,300.4469132423401,854
7,7,-348.0,300.2193863391876,848
8,8,-343.0,300.49265599250793,844
9,9,-335.0,300.3980190753937,835
10,10,-831.0,300.2682399749756,831
11,11,-827.0,300.4848699569702,828
12,12,-330.0,300.5343050956726,831
13,13,-330.0,300.44581031799316,831
14,14,-332.0,300.3818199634552,832
15,15,-328.0,300.19124603271484,828
16,16,-800.0,300.26591396331787,800
17,17,201.0,300.4257597923279,800
18,18,-298.0,300.42406272888184,799
19,19,-798.0,300.4969198703766,799
20,20,-297.0,300.5680365562439,798
21,21,-298.0,300.33915519714355,798
22,22,-297.0,300.5337200164795,798
23,23,-297.0,300.2502603530884,797
24,24,-297.0,300.22497606277466,797
25,25,-797.0,300.5188934803009,798
26,26,-796.0,300.41908144950867,797
27,27,-797.0,300.53428959846497,798
28,28,-297.0,300.31166434288025,797
29,29,-297.0,300.3139138221741,797
