,Number of attempt,Reward,Time taken,Number of actions
0,0,-589.0,296.85418033599854,589
1,1,6.0,300.6641516685486,495
2,2,40.0,300.79767632484436,461
3,3,41.0,300.5640721321106,459
4,4,70.0,300.63233757019043,430
5,5,-448.0,300.58740878105164,448
6,6,79.0,300.7315890789032,422
7,7,85.0,300.7918703556061,416
8,8,71.0,300.9325861930847,430
9,9,80.0,300.90896344184875,421
10,10,94.0,300.6453447341919,406
11,11,77.0,300.6531910896301,423
12,12,575.0,300.8661358356476,426
13,13,-428.0,300.5700719356537,428
14,14,80.0,300.56698846817017,420
15,15,-399.0,300.655868768692,399
16,16,134.0,301.66312766075134,367
17,17,146.0,300.92171454429626,355
18,18,610.0,300.624959230423,390
19,19,114.0,301.1487383842468,387
20,20,-402.0,301.0297758579254,403
21,21,131.0,300.6726791858673,369
22,22,98.0,300.8047308921814,403
23,23,-387.0,301.06250071525574,388
24,24,1126.0,300.8456540107727,375
25,25,134.0,301.03629302978516,367
26,26,-388.0,301.0418190956116,389
27,27,107.0,301.10424613952637,394
28,28,146.0,300.9813129901886,355
29,29,619.0,301.2246551513672,382
