,Number of attempt,Reward,Time taken,Number of actions
0,0,-1015.0,300.2690796852112,1015
1,1,-992.0,300.3235366344452,993
2,2,-476.0,300.1948640346527,976
3,3,-470.0,300.16932582855225,970
4,4,-954.0,300.5467836856842,955
5,5,-447.0,300.1695568561554,947
6,6,-446.0,300.1444571018219,946
7,7,-448.0,300.38907122612,949
8,8,-446.0,300.1993634700775,946
9,9,-444.0,300.34855914115906,945
10,10,-438.0,300.4787447452545,939
11,11,-408.0,300.45661759376526,909
12,12,-903.0,300.4859139919281,904
13,13,-882.0,300.37861371040344,883
14,14,-384.0,300.1758110523224,884
15,15,-381.0,300.38200306892395,882
16,16,-378.0,300.32951951026917,878
17,17,-378.0,300.3361201286316,879
18,18,-379.0,300.43885350227356,880
19,19,-878.0,300.4337651729584,879
20,20,-376.0,300.56864833831787,877
21,21,-872.0,300.2789218425751,872
22,22,-872.0,300.4161775112152,873
23,23,-371.0,300.29020857810974,871
24,24,-871.0,300.48178720474243,872
25,25,-373.0,300.16228914260864,873
26,26,-371.0,300.16250824928284,871
27,27,-372.0,300.33726048469543,872
28,28,-371.0,300.31286001205444,872
29,29,-871.0,300.24902296066284,871
