,Number of attempt,Reward,Time taken,Number of actions
0,0,-550.0,300.1578857898712,1050
1,1,-550.0,300.33161187171936,1051
2,2,-534.0,300.20804834365845,1034
3,3,-502.0,300.41001415252686,1003
4,4,-502.0,300.3455078601837,1003
5,5,-986.0,300.17364978790283,986
6,6,-469.0,300.3995249271393,970
7,7,-969.0,300.3758397102356,970
8,8,-470.0,300.12689447402954,970
9,9,37.0,300.23782086372375,963
10,10,-426.0,300.18932700157166,926
11,11,-427.0,300.1873149871826,927
12,12,-923.0,300.1976373195648,923
13,13,-425.0,300.1863315105438,925
14,14,-425.0,300.1875581741333,925
15,15,-921.0,300.3290605545044,921
16,16,-413.0,300.4234023094177,914
17,17,-412.0,300.15414452552795,912
18,18,-408.0,300.3078978061676,908
19,19,-389.0,300.22036147117615,889
20,20,-389.0,300.4821102619171,890
21,21,-887.0,300.484023809433,888
22,22,-389.0,300.1620750427246,889
23,23,-389.0,300.4543807506561,890
24,24,-389.0,300.24396419525146,889
25,25,-888.0,300.1550931930542,888
26,26,-387.0,300.5392484664917,888
27,27,124.0,300.1987979412079,876
28,28,-358.0,300.40202498435974,859
29,29,-348.0,300.4643952846527,849
