,Number of attempt,Reward,Time taken,Number of actions
0,0,-992.0,300.43684911727905,993
1,1,25.0,300.31537342071533,975
2,2,-910.0,300.2863793373108,910
3,3,-874.0,300.4847927093506,875
4,4,-871.0,300.516065120697,872
5,5,-371.0,300.3471200466156,871
6,6,-370.0,300.3715693950653,870
7,7,-870.0,300.421865940094,871
8,8,-867.0,300.45345401763916,868
9,9,-358.0,300.5178339481354,859
10,10,-349.0,300.5657289028168,850
11,11,-331.0,300.44372057914734,832
12,12,-832.0,300.3695156574249,832
13,13,-330.0,300.4122200012207,831
14,14,-330.0,300.4766182899475,831
15,15,-831.0,300.15498208999634,831
16,16,-330.0,300.44433856010437,831
17,17,-331.0,300.36120343208313,831
18,18,-331.0,300.3290944099426,831
19,19,-830.0,300.52531456947327,831
20,20,-330.0,300.50640892982483,831
21,21,-829.0,300.5268394947052,830
22,22,-331.0,300.3081202507019,831
23,23,-330.0,300.348956823349,831
24,24,-330.0,300.26275992393494,830
25,25,-330.0,300.5516119003296,831
26,26,-330.0,300.14320135116577,830
27,27,-329.0,300.3804280757904,830
28,28,-330.0,300.632714509964,831
29,29,-319.0,300.40229964256287,819
