,Number of attempt,Reward,Time taken,Number of actions
0,0,-511.0,300.18177938461304,1011
1,1,28.0,300.2254602909088,972
2,2,-436.0,300.2787938117981,936
3,3,-423.0,300.2412941455841,923
4,4,-916.0,300.24806022644043,916
5,5,-413.0,300.40463876724243,914
6,6,604.0,300.35914182662964,896
7,7,-372.0,300.367614030838,872
8,8,-863.0,300.2727246284485,863
9,9,-358.0,300.1886873245239,858
10,10,152.0,300.40203857421875,849
11,11,-338.0,300.27560091018677,838
12,12,-838.0,300.49001455307007,839
13,13,-338.0,300.4847090244293,839
14,14,-838.0,300.497177362442,839
15,15,-835.0,300.3359410762787,835
16,16,-834.0,300.4656648635864,835
17,17,-834.0,300.231796503067,834
18,18,-332.0,300.5435256958008,833
19,19,-333.0,300.53151273727417,834
20,20,-833.0,300.44973826408386,834
21,21,-833.0,300.38566732406616,834
22,22,-833.0,300.28506803512573,833
23,23,-334.0,300.22358560562134,834
24,24,-333.0,300.27545833587646,833
25,25,-334.0,300.5015106201172,835
26,26,-334.0,300.57199120521545,835
27,27,-333.0,300.4696099758148,834
28,28,-332.0,300.4770019054413,833
29,29,-334.0,300.3607769012451,834
