,Number of attempt,Reward,Time taken,Number of actions
0,0,-492.0,299.42665934562683,992
1,1,-508.0,300.2574119567871,1008
2,2,-1004.0,300.31463265419006,1005
3,3,-982.0,300.5010426044464,983
4,4,-419.0,300.2935907840729,919
5,5,-416.0,300.36076188087463,916
6,6,89.0,300.39278745651245,911
7,7,-379.0,300.44635701179504,880
8,8,-881.0,300.27947068214417,881
9,9,-380.0,300.32784247398376,881
10,10,-872.0,300.4580171108246,873
11,11,-348.0,300.497047662735,849
12,12,-320.0,300.39865016937256,820
13,13,-817.0,300.46613478660583,818
14,14,-317.0,300.475124835968,818
15,15,-803.0,300.27886295318604,803
16,16,-798.0,300.3613941669464,798
17,17,-297.0,300.342102766037,797
18,18,-294.0,300.4744441509247,795
19,19,-294.0,300.24457716941833,794
20,20,-294.0,300.60566091537476,795
21,21,-795.0,300.36216950416565,795
22,22,-793.0,300.42724418640137,794
23,23,-294.0,300.62581634521484,795
24,24,-294.0,300.42217350006104,794
25,25,-294.0,300.2291612625122,794
26,26,-294.0,300.478520154953,795
27,27,-294.0,300.24270820617676,794
28,28,-291.0,300.31487488746643,791
29,29,-275.0,300.44615507125854,776
