,Number of attempt,Reward,Time taken,Number of actions
0,0,-77.0,300.77110719680786,578
1,1,-29.0,300.5705795288086,529
2,2,0.0,300.69653725624084,0
3,3,-485.0,300.70567297935486,486
4,4,-498.0,300.7825105190277,499
5,5,12.0,300.62679862976074,488
6,6,9.0,300.57552909851074,492
7,7,-5.0,300.65974283218384,506
8,8,9.0,300.8470022678375,492
9,9,30.0,300.9578380584717,471
10,10,-437.0,300.6176862716675,437
11,11,52.0,301.002379655838,449
12,12,75.0,301.0244460105896,426
13,13,65.0,300.90930366516113,436
14,14,46.0,300.983984708786,455
15,15,67.0,300.4776544570923,433
16,16,55.0,301.031049489975,446
17,17,-437.0,300.5741205215454,437
18,18,71.0,300.67461490631104,430
19,19,45.0,300.6272759437561,456
20,20,52.0,300.5329604148865,448
21,21,-444.0,300.6312472820282,445
22,22,64.0,300.5076880455017,436
23,23,56.0,300.7736051082611,445
24,24,-416.0,300.6147873401642,416
25,25,-422.0,300.7185010910034,423
26,26,70.0,300.62320041656494,430
27,27,565.0,300.8272407054901,436
28,28,65.0,300.8567969799042,436
29,29,71.0,300.8180854320526,430
