,Number of attempt,Reward,Time taken,Number of actions
0,0,-542.0,300.36531686782837,1043
1,1,-520.0,300.2059233188629,1020
2,2,-1006.0,300.2755992412567,1006
3,3,-485.0,300.25281405448914,985
4,4,-977.0,300.4304926395416,978
5,5,52.0,300.41826701164246,949
6,6,-923.0,300.1939203739166,923
7,7,-420.0,300.2344870567322,920
8,8,-402.0,300.3204061985016,902
9,9,-403.0,300.2514054775238,903
10,10,-401.0,300.27816915512085,901
11,11,-400.0,300.2011332511902,900
12,12,-400.0,300.1876323223114,900
13,13,-398.0,300.27235984802246,898
14,14,-900.0,300.3002173900604,900
15,15,-400.0,300.46092462539673,901
16,16,-399.0,300.4245147705078,900
17,17,-400.0,300.22056770324707,900
18,18,-897.0,300.3516607284546,898
19,19,-900.0,300.17025327682495,900
20,20,-400.0,300.1445631980896,900
21,21,-400.0,300.57335591316223,901
22,22,-400.0,300.43658351898193,901
23,23,-400.0,300.199245929718,900
24,24,-897.0,300.4233202934265,898
25,25,-370.0,300.45117807388306,871
26,26,-844.0,300.43507051467896,845
27,27,-841.0,300.51786398887634,842
28,28,-337.0,300.4587495326996,838
29,29,-337.0,300.20004749298096,837
