,Number of attempt,Reward,Time taken,Number of actions
0,0,-543.0,298.4893352985382,1044
1,1,-1020.0,300.3066680431366,1021
2,2,-502.0,300.2422413825989,1002
3,3,-1002.0,300.29190945625305,1002
4,4,-498.0,300.1538939476013,998
5,5,-492.0,300.25739312171936,992
6,6,541.0,300.35619711875916,960
7,7,-429.0,300.42388916015625,930
8,8,-922.0,300.4899260997772,923
9,9,-421.0,300.2529249191284,921
10,10,-918.0,300.34074306488037,918
11,11,-409.0,300.3648328781128,910
12,12,-410.0,300.37973165512085,911
13,13,-410.0,300.3248200416565,911
14,14,-403.0,300.5250201225281,904
15,15,-384.0,300.38500118255615,885
16,16,-379.0,300.4138376712799,880
17,17,-358.0,300.4698941707611,859
18,18,-358.0,300.2722465991974,858
19,19,-857.0,300.28511667251587,857
20,20,-353.0,300.57043194770813,854
21,21,-354.0,300.446870803833,855
22,22,-355.0,300.3600752353668,855
23,23,-352.0,300.4292209148407,853
24,24,-353.0,300.2980635166168,853
25,25,-354.0,300.38683581352234,855
26,26,-349.0,300.45720958709717,850
27,27,-347.0,300.49591517448425,848
28,28,-346.0,300.2353472709656,846
29,29,160.0,300.3235082626343,840
