Number of attempt,Reward,Time taken,Number of actions
0,-2488,256.6800315,9477
1,-18695,359.9661651,13369
2,-18165,359.9611778,13278
3,-18371,359.9522021,13149
4,8200,41.60072637,1550
5,-17104,359.9816296,13304
6,-17665,360.0369854,13352
7,-1455,246.5051556,9058
8,-14597,302.5602214,12164
9,6770,78.03626919,3307
10,1822,195.8930249,8348
11,-18086,359.9631722,15234
12,-16628,341.5953023,14421
13,-17199,359.9591823,15243
14,-18212,359.9671621,15251
15,-18702,359.9312716,15227
16,-17668,359.9733961,15211
17,-4586,304.2760966,12904
18,-18148,359.9492099,15177
19,-16712,359.9519138,15245
20,-16654,360.0010726,15378
21,3757,151.4658594,6379
22,-16120,360.0379744,15329
23,4551,99.30238652,4231
24,-18731,359.9601793,15218
25,-18651,359.9641702,15237
26,-17597,360.0035746,15129
27,-17680,360.0389717,15291
28,1219,196.3887017,8309
29,3404,148.7401495,6314
30,-19137,359.9621739,15251
31,-17657,359.9671605,15164
32,7652,61.32496691,2591
33,-18173,359.9641707,15168
34,-4832,316.9272776,13366
35,-17162,359.9462163,15198
36,-18167,359.9507129,15221
37,-17645,360.0275083,14414
38,-15756,359.9437335,14360
39,-18149,359.9582005,14080
40,-388,216.3607864,8425
41,-7202,351.761122,13820
42,-17624,359.9791286,13824
43,1942,175.1988854,6824
44,-2083,248.2060792,9179
45,-18677,359.9771357,13207
46,-17607,359.9686642,13319
47,-404,218.643173,8075
48,-17561,359.9606967,13222
49,-16368,345.2614965,12750
50,-17136,359.974649,13263
51,-19211,359.9447289,13317
52,6006,73.01370287,2707
53,-17654,359.965183,13325
54,-5435,319.6669717,11977
55,-18250,359.9422283,13856
56,3193,163.3251395,6401
57,-17696,359.96417,14957
58,-17621,359.9374642,15274
59,-17744,359.9487169,15282
60,-3263,287.1783626,12237
61,-2436,254.6044924,10816
62,-17738,359.9616854,15291
63,329,205.2918866,8680
64,-17654,359.9821229,15282
65,-17712,359.9537034,15188
66,-17738,359.9397449,15262
67,-17750,360.0220189,15234
68,-17212,359.9911194,15206
69,-17726,359.9542103,15253
70,-5751,332.8058116,14222
71,-18137,359.9432392,15286
72,4724,114.8258641,4790
73,-17662,360.0115485,14152
74,-1916,245.6898301,9567
75,-17688,359.9666812,13870
76,-4449,310.0137641,11594
77,-18781,359.9621871,13528
78,-17627,359.9721625,13273
79,-17663,360.0170274,13461
80,307,195.4283104,7258
81,37,228.3886111,8575
82,-8382,180.6552925,6782
83,-18139,359.9611967,13418
84,2788,150.0970275,5576
85,-4588,312.6287825,11808
86,-17725,359.9791446,13595
87,-18230,359.9297662,13582
88,1692,187.7458193,7283
89,-18724,359.9626811,13913
90,-18227,359.9522023,13931
91,-18143,359.9611783,14036
92,1039,201.6962173,8048
93,-1046,229.973866,9645
94,4972,128.6349266,5461
95,-18631,359.9412308,15207
96,1145,199.2246222,8383
97,-17659,359.9691572,15249
98,-17478,360.0289984,15194
99,-3031,296.5747144,12130
