Number of attempt,Reward,Time taken,Number of actions
0,-5632,360.2086451,6108
1,8589,225.299396,3163
2,-4121,360.2342741,4865
3,-4143,360.233789,4896
4,-4198,360.2813392,4951
5,7314,338.4353161,4480
6,-5203,360.084301,4958
7,-6825,360.0948961,6671
8,-6609,360.1312234,6879
9,-5453,360.0818243,5925
10,-6920,360.1441185,7159
11,7419,242.6398616,4845
12,9498,99.43173766,2008
13,-7538,360.1672766,7223
14,-6184,360.155436,7392
15,10327,47.52155399,941
16,6483,195.7944803,4012
17,8081,176.5448241,3535
18,-6911,360.1503172,7116
19,-7076,360.2275491,7310
20,-7364,360.1766675,7049
21,-8452,360.1761904,7517
22,-8053,360.1321297,7612
23,8006,154.3684359,3213
24,-7528,360.1966269,7699
25,9087,92.22089863,1968
26,8841,140.6942317,2885
27,-7878,360.2136664,7494
28,-7429,360.0881138,7178
29,9621,111.1349347,2040
30,-8490,360.1701126,7178
31,6434,269.4421129,5534
32,6244,200.4086959,4212
33,-8013,360.1458414,7601
34,-7007,360.1354728,7520
35,-7042,360.15675,7673
36,-7570,360.1870275,7622
37,-7583,360.2277398,7662
38,-6340,360.2161047,7474
39,10352,73.23046994,1252
40,-6616,360.1501391,6092
41,4426,279.7961514,4458
42,7565,195.0994594,3015
43,7894,180.4364948,2830
44,-6968,360.6100688,5375
45,-5957,360.2617059,5389
46,9409,94.92516422,1293
47,-6253,358.1297216,6639
48,-7366,360.0524771,7167
49,-7267,360.1736858,7419
50,-6642,360.2063339,7268
51,8807,104.7234211,2146
52,8513,152.3118997,3198
53,-7040,360.1940107,7610
54,-6830,352.5790901,7572
55,-7563,360.1934886,7637
56,-8096,360.3146071,7676
57,8761,86.57955933,1783
58,-7663,360.1650114,7719
59,-7572,360.0422735,7658
60,8343,119.8729944,2504
61,9309,120.0139315,2559
62,4271,324.8742261,6974
63,-7154,360.0741553,6910
64,-5537,360.1634066,5646
65,-5862,371.957011,5924
66,-4663,410.3859658,6087
67,-6189,388.5845621,6959
68,-6067,439.6574082,8017
69,10626,114.7262661,2267
70,-7570,378.6121533,7672
71,7928,223.7735176,4484
72,-6846,360.1110084,7489
73,-7199,360.0887158,7337
74,-7401,360.1122992,7449
75,6809,203.9481959,4157
76,-7087,360.1617868,6657
77,-9002,360.1944275,6604
78,-7069,360.0747621,6334
79,-7179,360.1267109,6559
80,8361,155.8168056,2910
81,-7556,360.1291306,6541
82,-5605,360.1114924,6655
83,9171,90.1895926,1503
84,6204,198.6397862,3697
85,-7152,360.1909928,6669
86,-7491,360.1540053,6755
87,-7638,360.2168865,6159
88,8847,119.7890627,1940
89,-6950,360.062062,5913
90,-8024,360.2685993,5861
91,-7090,360.2128766,6006
92,2658,354.8371058,5777
93,6707,218.7527096,3527
94,-5985,360.1486876,6014
95,5083,204.3015065,3635
96,9556,93.86072874,1777
97,-7293,360.1756737,7253
98,-7460,360.0692911,7463
99,7674,126.6311574,2644
