Number of attempt,Reward,Time taken,Number of actions
0,10249,73.88502407,251
1,-473,300.3276441,973
2,10520,170.7213395,481
3,-786,300.3764,786
4,-275,300.3353167,775
5,2249,300.5962467,752
6,10820,76.54347563,181
7,-703,300.4728014,703
8,9740,111.8707063,261
9,-699,300.5747671,700
10,305,300.3327293,695
11,-690,300.6443117,691
12,-687,300.3522007,687
13,-185,300.7209036,686
14,9890,49.23467088,111
15,831,300.4482751,670
16,-667,300.664619,668
17,-666,300.5852957,667
18,9870,59.72179699,131
19,-654,300.7176979,655
20,-651,300.4664338,652
21,-151,300.3136923,651
22,9704,137.3498168,296
23,-643,300.3114157,643
24,-642,300.7170589,643
25,-136,300.4664493,637
26,-130,300.7034919,631
27,11009,235.120424,492
28,9536,222.0684328,465
29,375,300.4321733,626
