,Number of attempt,Reward,Time taken,Number of actions
0,0,17.0,300.4460382461548,984
1,1,-432.0,300.13792538642883,932
2,2,-420.0,300.4899513721466,921
3,3,-407.0,300.4589366912842,908
4,4,-402.0,300.3453176021576,902
5,5,-391.0,300.21749567985535,891
6,6,-874.0,300.2386157512665,874
7,7,-361.0,300.4273564815521,862
8,8,-356.0,300.44984316825867,857
9,9,-344.0,300.59429025650024,845
10,10,-840.0,300.3615930080414,841
11,11,-837.0,300.5236256122589,838
12,12,-330.0,300.57003259658813,831
13,13,-331.0,300.60294818878174,832
14,14,-828.0,300.49521803855896,829
15,15,-321.0,300.2921166419983,821
16,16,-315.0,300.5129601955414,816
17,17,-315.0,300.34475088119507,815
18,18,-814.0,300.58667612075806,815
19,19,-312.0,300.48522663116455,813
20,20,-314.0,300.57535004615784,815
21,21,-306.0,300.47593879699707,807
22,22,-805.0,300.49734354019165,806
23,23,-306.0,300.5028781890869,807
24,24,-299.0,300.4284327030182,800
25,25,-292.0,300.23631620407104,792
26,26,-291.0,300.5689024925232,792
27,27,-292.0,300.2458350658417,792
28,28,-791.0,300.3231129646301,791
29,29,-793.0,300.3557221889496,793
