Number of attempt,Reward,Time taken,Number of actions
0,-116.0,300.55759954452515,617
1,-558.0,300.4502429962158,558
2,9.0,300.8246991634369,492
3,1.0,300.96430492401123,500
4,17.0,301.0821478366852,484
5,41.0,301.028528213501,460
6,10.0,300.8760802745819,491
7,-13.0,300.9484152793884,514
8,3.0,300.7386393547058,498
9,498.0,300.80477356910706,503
10,27.0,300.77569103240967,474
11,39.0,301.23088788986206,462
12,25.0,300.63890838623047,475
13,32.0,301.01999521255493,469
14,31.0,300.88425755500793,470
15,28.0,300.7001693248749,473
16,34.0,301.01421904563904,467
17,30.0,300.95921063423157,471
18,1029.0,300.9749422073364,472
19,46.0,300.7892544269562,455
20,43.0,300.6539468765259,457
21,35.0,300.68291330337524,466
22,42.0,300.5893135070801,458
23,38.0,301.1149070262909,463
24,-463.0,300.9580147266388,464
25,44.0,300.9792230129242,457
26,39.0,300.8343632221222,462
27,-465.0,300.8509683609009,466
28,-460.0,300.8707685470581,461
29,45.0,300.70329451560974,455
