Number of attempt,Reward,Time taken,Number of actions
0,-677.0,300.5017578601837,677
1,-170.0,300.5461072921753,671
2,-159.0,300.60188126564026,660
3,-146.0,300.59922790527344,646
4,-152.0,300.78605103492737,653
5,-146.0,300.7248067855835,646
6,-148.0,300.42127227783203,648
7,-141.0,300.50053548812866,642
8,-166.0,300.655690908432,667
9,-152.0,300.6287627220154,653
10,-149.0,300.55830550193787,650
11,-657.0,300.6903007030487,658
12,-164.0,300.4869260787964,664
13,-151.0,300.74682545661926,652
14,-161.0,300.40970969200134,661
15,-164.0,300.7071328163147,665
16,-132.0,300.5710995197296,633
17,-97.0,300.90227365493774,598
18,-88.0,300.61210227012634,589
19,-584.0,300.78137397766113,585
20,-88.0,300.54809379577637,588
21,-84.0,300.7240056991577,585
22,-587.0,300.78130292892456,588
23,-83.0,300.82610750198364,584
24,-575.0,300.8022005558014,576
25,-42.0,300.97318506240845,543
26,570.0,301.33980226516724,431
27,603.0,300.5075902938843,397
28,120.0,300.8221871852875,381
29,-379.0,300.82391905784607,380
