Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-992,300.4368491,993,0
1,25,300.3153734,975,2
2,-910,300.2863793,910,0
3,-874,300.4847927,875,0
4,-871,300.5160651,872,0
5,-371,300.34712,871,1
6,-370,300.3715694,870,1
7,-870,300.4218659,871,0
8,-867,300.453454,868,0
9,-358,300.5178339,859,1
10,-349,300.5657289,850,1
11,-331,300.4437206,832,1
12,-832,300.3695157,832,0
13,-330,300.41222,831,1
14,-330,300.4766183,831,1
15,-831,300.1549821,831,0
16,-330,300.4443386,831,1
17,-331,300.3612034,831,1
18,-331,300.3290944,831,1
19,-830,300.5253146,831,0
20,-330,300.5064089,831,1
21,-829,300.5268395,830,0
22,-331,300.3081203,831,1
23,-330,300.3489568,831,1
24,-330,300.2627599,830,1
25,-330,300.5516119,831,1
26,-330,300.1432014,830,1
27,-329,300.3804281,830,1
28,-330,300.6327145,831,1
29,-319,300.4022996,819,1
