Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-511,300.1817794,1011,1
1,28,300.2254603,972,2
2,-436,300.2787938,936,1
3,-423,300.2412941,923,1
4,-916,300.2480602,916,0
5,-413,300.4046388,914,1
6,604,300.3591418,896,3
7,-372,300.367614,872,1
8,-863,300.2727246,863,0
9,-358,300.1886873,858,1
10,152,300.4020386,849,2
11,-338,300.2756009,838,1
12,-838,300.4900146,839,0
13,-338,300.484709,839,1
14,-838,300.4971774,839,0
15,-835,300.3359411,835,0
16,-834,300.4656649,835,0
17,-834,300.2317965,834,0
18,-332,300.5435257,833,1
19,-333,300.5315127,834,1
20,-833,300.4497383,834,0
21,-833,300.3856673,834,0
22,-833,300.285068,833,0
23,-334,300.2235856,834,1
24,-333,300.2754583,833,1
25,-334,300.5015106,835,1
26,-334,300.5719912,835,1
27,-333,300.46961,834,1
28,-332,300.4770019,833,1
29,-334,300.3607769,834,1
