Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-77,300.7711072,578,1
1,-29,300.5705795,529,1
2,0,300.6965373,0,0
3,-485,300.705673,486,0
4,-498,300.7825105,499,0
5,12,300.6267986,488,1
6,9,300.5755291,492,1
7,-5,300.6597428,506,1
8,9,300.8470023,492,1
9,30,300.9578381,471,1
10,-437,300.6176863,437,0
11,52,301.0023797,449,1
12,75,301.024446,426,1
13,65,300.9093037,436,1
14,46,300.9839847,455,1
15,67,300.4776545,433,1
16,55,301.0310495,446,1
17,-437,300.5741205,437,0
18,71,300.6746149,430,1
19,45,300.6272759,456,1
20,52,300.5329604,448,1
21,-444,300.6312473,445,0
22,64,300.507688,436,1
23,56,300.7736051,445,1
24,-416,300.6147873,416,0
25,-422,300.7185011,423,0
26,70,300.6232004,430,1
27,565,300.8272407,436,2
28,65,300.856797,436,1
29,71,300.8180854,430,1
