Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-543,298.4893353,1044,1
1,-1020,300.306668,1021,0
2,-502,300.2422414,1002,1
3,-1002,300.2919095,1002,0
4,-498,300.1538939,998,1
5,-492,300.2573931,992,1
6,541,300.3561971,960,3
7,-429,300.4238892,930,1
8,-922,300.4899261,923,0
9,-421,300.2529249,921,1
10,-918,300.3407431,918,0
11,-409,300.3648329,910,1
12,-410,300.3797317,911,1
13,-410,300.32482,911,1
14,-403,300.5250201,904,1
15,-384,300.3850012,885,1
16,-379,300.4138377,880,1
17,-358,300.4698942,859,1
18,-358,300.2722466,858,1
19,-857,300.2851167,857,0
20,-353,300.5704319,854,1
21,-354,300.4468708,855,1
22,-355,300.3600752,855,1
23,-352,300.4292209,853,1
24,-353,300.2980635,853,1
25,-354,300.3868358,855,1
26,-349,300.4572096,850,1
27,-347,300.4959152,848,1
28,-346,300.2353473,846,1
29,160,300.3235083,840,2
