Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-492,299.4266593,992,1
1,-508,300.257412,1008,1
2,-1004,300.3146327,1005,0
3,-982,300.5010426,983,0
4,-419,300.2935908,919,1
5,-416,300.3607619,916,1
6,89,300.3927875,911,2
7,-379,300.446357,880,1
8,-881,300.2794707,881,0
9,-380,300.3278425,881,1
10,-872,300.4580171,873,0
11,-348,300.4970477,849,1
12,-320,300.3986502,820,1
13,-817,300.4661348,818,0
14,-317,300.4751248,818,1
15,-803,300.278863,803,0
16,-798,300.3613942,798,0
17,-297,300.3421028,797,1
18,-294,300.4744442,795,1
19,-294,300.2445772,794,1
20,-294,300.6056609,795,1
21,-795,300.3621695,795,0
22,-793,300.4272442,794,0
23,-294,300.6258163,795,1
24,-294,300.4221735,794,1
25,-294,300.2291613,794,1
26,-294,300.4785202,795,1
27,-294,300.2427082,794,1
28,-291,300.3148749,791,1
29,-275,300.4461551,776,1
