Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-1015,300.2690797,1015,0
1,-992,300.3235366,993,0
2,-476,300.194864,976,1
3,-470,300.1693258,970,1
4,-954,300.5467837,955,0
5,-447,300.1695569,947,1
6,-446,300.1444571,946,1
7,-448,300.3890712,949,1
8,-446,300.1993635,946,1
9,-444,300.3485591,945,1
10,-438,300.4787447,939,1
11,-408,300.4566176,909,1
12,-903,300.485914,904,0
13,-882,300.3786137,883,0
14,-384,300.1758111,884,1
15,-381,300.3820031,882,1
16,-378,300.3295195,878,1
17,-378,300.3361201,879,1
18,-379,300.4388535,880,1
19,-878,300.4337652,879,0
20,-376,300.5686483,877,1
21,-872,300.2789218,872,0
22,-872,300.4161775,873,0
23,-371,300.2902086,871,1
24,-871,300.4817872,872,0
25,-373,300.1622891,873,1
26,-371,300.1625082,871,1
27,-372,300.3372605,872,1
28,-371,300.31286,872,1
29,-871,300.249023,871,0
