Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-542,300.3653169,1043,1
1,-520,300.2059233,1020,1
2,-1006,300.2755992,1006,0
3,-485,300.2528141,985,1
4,-977,300.4304926,978,0
5,52,300.418267,949,2
6,-923,300.1939204,923,0
7,-420,300.2344871,920,1
8,-402,300.3204062,902,1
9,-403,300.2514055,903,1
10,-401,300.2781692,901,1
11,-400,300.2011333,900,1
12,-400,300.1876323,900,1
13,-398,300.2723598,898,1
14,-900,300.3002174,900,0
15,-400,300.4609246,901,1
16,-399,300.4245148,900,1
17,-400,300.2205677,900,1
18,-897,300.3516607,898,0
19,-900,300.1702533,900,0
20,-400,300.1445632,900,1
21,-400,300.5733559,901,1
22,-400,300.4365835,901,1
23,-400,300.1992459,900,1
24,-897,300.4233203,898,0
25,-370,300.4511781,871,1
26,-844,300.4350705,845,0
27,-841,300.517864,842,0
28,-337,300.4587495,838,1
29,-337,300.2000475,837,0
