Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-550,300.1578858,1050,1
1,-550,300.3316119,1051,1
2,-534,300.2080483,1034,1
3,-502,300.4100142,1003,1
4,-502,300.3455079,1003,1
5,-986,300.1736498,986,0
6,-469,300.3995249,970,1
7,-969,300.3758397,970,0
8,-470,300.1268945,970,1
9,37,300.2378209,963,2
10,-426,300.189327,926,1
11,-427,300.187315,927,1
12,-923,300.1976373,923,0
13,-425,300.1863315,925,1
14,-425,300.1875582,925,1
15,-921,300.3290606,921,0
16,-413,300.4234023,914,1
17,-412,300.1541445,912,1
18,-408,300.3078978,908,1
19,-389,300.2203615,889,1
20,-389,300.4821103,890,1
21,-887,300.4840238,888,0
22,-389,300.162075,889,1
23,-389,300.4543808,890,1
24,-389,300.2439642,889,1
25,-888,300.1550932,888,0
26,-387,300.5392485,888,1
27,124,300.1987979,876,2
28,-358,300.402025,859,1
29,-348,300.4643953,849,1
