Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-125,298.7026124,626,1
1,-94,300.7169781,595,1
2,-94,300.5283945,595,1
3,-567,300.5017266,567,0
4,-23,300.4546666,523,1
5,-43,300.901413,544,1
6,-48,300.4913609,548,1
7,14,300.8243999,487,1
8,-26,300.4159198,526,1
9,-428,300.8853245,429,0
10,-353,301.2616701,354,0
11,112,300.967376,389,1
12,109,301.0974503,392,1
13,-407,301.2855544,408,0
14,-404,300.71333,405,0
15,131,311.651866,370,1
16,118,301.0975227,383,1
17,-368,301.1349483,369,0
18,-352,301.4000914,353,0
19,-83,300.6113534,584,1
20,-253,300.5735571,754,1
21,-798,300.3248665,799,0
22,1016,301.0897779,485,3
23,159,301.5656838,342,1
24,-341,300.8982036,341,0
25,-339,301.2908866,340,0
26,164,301.5720813,337,1
27,182,301.077652,319,1
28,162,301.7162452,339,1
29,-342,300.7995145,343,0
