Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-589,296.8541803,589,0
1,6,300.6641517,495,1
2,40,300.7976763,461,1
3,41,300.5640721,459,1
4,70,300.6323376,430,1
5,-448,300.5874088,448,0
6,79,300.7315891,422,1
7,85,300.7918704,416,1
8,71,300.9325862,430,1
9,80,300.9089634,421,1
10,94,300.6453447,406,1
11,77,300.6531911,423,1
12,575,300.8661358,426,2
13,-428,300.5700719,428,0
14,80,300.5669885,420,1
15,-399,300.6558688,399,0
16,134,301.6631277,367,1
17,146,300.9217145,355,1
18,610,300.6249592,390,2
19,114,301.1487384,387,1
20,-402,301.0297759,403,0
21,131,300.6726792,369,1
22,98,300.8047309,403,1
23,-387,301.0625007,388,0
24,1126,300.845654,375,3
25,134,301.036293,367,1
26,-388,301.0418191,389,0
27,107,301.1042461,394,1
28,146,300.981313,355,1
29,619,301.2246552,382,2
