,Number of attempt,Reward,Time taken,Number of actions
0,0,-477.0,300.34578251838684,978
1,1,-455.0,300.35490131378174,956
2,2,-413.0,300.2219672203064,913
3,3,-359.0,300.33929657936096,859
4,4,-861.0,300.5002512931824,862
5,5,-359.0,300.43548560142517,859
6,6,-854.0,300.53277492523193,855
7,7,-346.0,300.2109034061432,846
8,8,-343.0,300.2134475708008,843
9,9,-323.0,300.26928067207336,823
10,10,-323.0,300.35255241394043,823
11,11,-322.0,300.1592617034912,822
12,12,-324.0,300.3426797389984,824
13,13,-323.0,300.28388476371765,823
14,14,-325.0,300.4242408275604,825
15,15,-324.0,300.3456792831421,824
16,16,-324.0,300.1796588897705,824
17,17,-323.0,300.4355983734131,824
18,18,-324.0,300.50425720214844,825
19,19,-322.0,300.4497015476227,823
20,20,-323.0,300.44955468177795,824
21,21,-319.0,300.3970310688019,820
22,22,-799.0,300.32454895973206,799
23,23,-298.0,300.37914872169495,798
24,24,-296.0,300.2158160209656,796
25,25,-295.0,300.39887714385986,796
26,26,-296.0,300.49986481666565,797
27,27,-797.0,300.2351107597351,797
28,28,-297.0,300.5793261528015,798
29,29,-797.0,300.42746567726135,798
