,Number of attempt,Reward,Time taken,Number of actions
0,0,-557.0,300.2277042865753,1057
1,1,-541.0,300.21532940864563,1041
2,2,-533.0,300.38598585128784,1034
3,3,-507.0,300.2538437843323,1007
4,4,-977.0,300.4286561012268,978
5,5,-440.0,300.34890723228455,941
6,6,-930.0,300.32475209236145,930
7,7,-422.0,300.48288679122925,923
8,8,-415.0,300.27860164642334,915
9,9,-413.0,300.2354564666748,913
10,10,-908.0,300.4202127456665,909
11,11,-906.0,300.24290561676025,906
12,12,-408.0,300.45863676071167,909
13,13,-907.0,300.3408045768738,908
14,14,-900.0,300.4201080799103,901
15,15,-902.0,300.22705841064453,902
16,16,-396.0,300.4362106323242,897
17,17,-380.0,300.42844891548157,881
18,18,121.0,300.4313611984253,880
19,19,-374.0,300.21342754364014,874
20,20,-875.0,300.2755525112152,875
21,21,-374.0,300.3646311759949,875
22,22,-372.0,300.39899015426636,873
23,23,-374.0,300.46440029144287,875
24,24,-872.0,300.5729629993439,873
25,25,-373.0,300.33758997917175,873
26,26,-873.0,300.4405052661896,874
27,27,-373.0,300.4053146839142,874
28,28,-364.0,300.1837594509125,864
29,29,-372.0,300.48864364624023,873
