,Number of attempt,Reward,Time taken,Number of actions
0,0,-150.0,299.1254012584686,650
1,1,-202.0,300.63377141952515,703
2,2,-193.0,300.56816697120667,694
3,3,-137.0,300.37674283981323,637
4,4,-620.0,300.3280155658722,620
5,5,-612.0,300.77411341667175,613
6,6,-600.0,300.2904849052429,600
7,7,-91.0,300.77591037750244,592
8,8,-92.0,300.7158181667328,593
9,9,418.0,300.7464370727539,583
10,10,-53.0,300.45961332321167,553
11,11,1519.0,264.80012702941895,482
12,12,-31.0,300.5090186595917,531
13,13,-527.0,300.9848449230194,528
14,14,-17.0,300.5402443408966,517
15,15,487.0,300.7647137641907,514
16,16,-23.0,300.7013032436371,524
17,17,-27.0,300.5419533252716,527
18,18,-10.0,300.50831747055054,510
19,19,-10.0,300.66345834732056,511
20,20,-15.0,300.6341917514801,515
21,21,-509.0,300.5194261074066,509
22,22,-23.0,300.404669046402,523
23,23,480.0,300.6228380203247,521
24,24,-35.0,300.4170594215393,535
25,25,15.0,300.7179927825928,486
26,26,40.0,300.9252550601959,461
27,27,-482.0,300.86510181427,483
28,28,79.0,300.828871011734,422
29,29,142.0,300.9429392814636,359
