,Number of attempt,Reward,Time taken,Number of actions
0,0,-593.0,300.6226131916046,594
1,1,-145.0,300.6884562969208,646
2,2,-613.0,300.4629156589508,613
3,3,-554.0,300.66003799438477,555
4,4,7.0,300.9395694732666,494
5,5,70.0,300.88279008865356,431
6,6,63.0,300.85210132598877,438
7,7,-6.0,300.42309188842773,507
8,8,7.0,300.91799306869507,494
9,9,7.0,300.9108998775482,494
10,10,-480.0,300.8390545845032,481
11,11,36.0,300.5946605205536,464
12,12,43.0,300.6594796180725,457
13,13,87.0,300.86097979545593,414
14,14,30.0,300.9219739437103,471
15,15,527.0,300.976092338562,474
16,16,-438.0,301.0839457511902,439
17,17,0.0,301.43011116981506,0
18,18,-391.0,301.2735478878021,392
19,19,113.0,310.5382421016693,388
20,20,118.0,301.4677755832672,383
21,21,607.0,300.9414310455322,394
22,22,123.0,301.2756989002228,378
23,23,154.0,300.82033109664917,346
24,24,654.0,301.153523683548,347
25,25,156.0,301.13898515701294,345
26,26,158.0,301.38489627838135,343
27,27,160.0,301.23700428009033,341
28,28,164.0,301.0885605812073,337
29,29,155.0,301.37775230407715,346
