,Number of attempt,Reward,Time taken,Number of actions
0,0,-1021.0,300.3723328113556,1022
1,1,-983.0,300.4622960090637,984
2,2,-451.0,300.42336320877075,952
3,3,-936.0,300.15268087387085,936
4,4,-431.0,300.41753578186035,932
5,5,-429.0,300.3133158683777,930
6,6,-425.0,300.43601393699646,926
7,7,-404.0,300.14406180381775,904
8,8,-389.0,300.46037912368774,890
9,9,-362.0,300.49967551231384,863
10,10,-364.0,300.5076925754547,865
11,11,-354.0,300.4463560581207,855
12,12,-353.0,300.2625117301941,853
13,13,-850.0,300.295045375824,850
14,14,-352.0,300.52760553359985,853
15,15,-851.0,300.46400237083435,852
16,16,-339.0,300.2077922821045,839
17,17,-325.0,300.35364747047424,825
18,18,-323.0,300.34688806533813,824
19,19,-325.0,300.23013043403625,825
20,20,-321.0,300.3808994293213,822
21,21,-324.0,300.3485310077667,825
22,22,-314.0,300.4121296405792,815
23,23,-295.0,300.26603269577026,795
24,24,-297.0,300.35628962516785,798
25,25,-294.0,300.3036620616913,794
26,26,-297.0,300.3954086303711,798
27,27,-296.0,300.5477864742279,797
28,28,-797.0,300.23921608924866,797
29,29,-297.0,300.25212836265564,797
