,Number of attempt,Reward,Time taken,Number of actions
0,0,-508.0,298.982488155365,1009
1,1,-511.0,300.41286301612854,1012
2,2,-454.0,300.3852319717407,955
3,3,-446.0,300.28627157211304,946
4,4,-427.0,300.213054895401,927
5,5,-914.0,300.37516236305237,915
6,6,-408.0,300.35028433799744,908
7,7,-902.0,300.3798050880432,903
8,8,-892.0,300.2619879245758,892
9,9,-891.0,300.3628726005554,891
10,10,-387.0,300.51789355278015,888
11,11,-389.0,300.3055920600891,889
12,12,-390.0,300.18798303604126,890
13,13,-388.0,300.4177620410919,889
14,14,-389.0,300.3352515697479,889
15,15,-390.0,300.35165905952454,890
16,16,-387.0,300.3711578845978,888
17,17,-885.0,300.3382797241211,886
18,18,-374.0,300.322630405426,875
19,19,127.0,300.15699315071106,873
20,20,-872.0,300.4289412498474,873
21,21,-367.0,300.2496449947357,867
22,22,-344.0,300.4344947338104,845
23,23,-346.0,300.1997003555298,846
24,24,-346.0,300.28798270225525,846
25,25,155.0,300.3640115261078,846
26,26,-345.0,300.3212013244629,845
27,27,-830.0,300.5261664390564,831
28,28,-337.0,300.2716929912567,837
29,29,-342.0,300.5421772003174,843
