,Number of attempt,Reward,Time taken,Number of actions
0,0,-560.0,300.4042797088623,1061
1,1,-560.0,300.25037932395935,1060
2,2,-1024.0,300.35226941108704,1024
3,3,-470.0,300.24816608428955,970
4,4,-451.0,300.39845085144043,952
5,5,-445.0,300.41756319999695,946
6,6,68.0,300.2981083393097,933
7,7,-416.0,300.19793939590454,916
8,8,-393.0,300.39942693710327,894
9,9,-891.0,300.37056398391724,892
10,10,113.0,300.2584249973297,887
11,11,-361.0,300.48216438293457,862
12,12,-357.0,300.2669939994812,857
13,13,-356.0,300.5498466491699,857
14,14,-355.0,300.2195608615875,855
15,15,-355.0,300.1957654953003,855
16,16,-352.0,300.25967812538147,852
17,17,-352.0,300.462744474411,853
18,18,-352.0,300.28037118911743,852
19,19,-352.0,300.543395280838,853
20,20,-351.0,300.3612127304077,852
21,21,-352.0,300.543904542923,853
22,22,-352.0,300.446492433548,853
23,23,-351.0,300.2705616950989,851
24,24,-342.0,300.2357847690582,842
25,25,-341.0,300.4291822910309,842
26,26,-342.0,300.2704005241394,842
27,27,-841.0,300.3479838371277,842
28,28,-342.0,300.4231038093567,843
29,29,-342.0,300.3013732433319,842
