,Number of attempt,Reward,Time taken,Number of actions
0,0,-110.0,294.14389634132385,611
1,1,-76.0,300.671106338501,577
2,2,-561.0,300.6748118400574,562
3,3,-57.0,300.6800651550293,558
4,4,-50.0,300.6803250312805,551
5,5,-536.0,300.81132340431213,537
6,6,-28.0,300.6461958885193,529
7,7,-517.0,300.6015787124634,517
8,8,-513.0,300.52810764312744,513
9,9,-494.0,300.861914396286,495
10,10,-493.0,300.5448362827301,493
11,11,-1.0,300.711154460907,502
12,12,540.0,300.9273784160614,461
13,13,84.0,300.72903752326965,417
14,14,82.0,300.72090435028076,419
15,15,-417.0,300.75710439682007,418
16,16,-346.0,300.8447163105011,347
17,17,-419.0,301.01505732536316,420
18,18,81.0,300.8486692905426,420
19,19,96.0,300.69295167922974,405
20,20,77.0,300.9588625431061,424
21,21,592.0,301.1681387424469,409
22,22,65.0,300.98720240592957,436
23,23,14.0,300.62009501457214,486
24,24,-495.0,300.8948299884796,496
25,25,6.0,300.85051679611206,495
26,26,9.0,300.8448557853699,492
27,27,4.0,300.9558479785919,497
28,28,2.0,300.7090549468994,499
29,29,12.0,300.6921832561493,489
