Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-557,300.2277043,1057,1
1,-541,300.2153294,1041,1
2,-533,300.3859859,1034,1
3,-507,300.2538438,1007,1
4,-977,300.4286561,978,0
5,-440,300.3489072,941,1
6,-930,300.3247521,930,0
7,-422,300.4828868,923,1
8,-415,300.2786016,915,1
9,-413,300.2354565,913,1
10,-908,300.4202127,909,0
11,-906,300.2429056,906,0
12,-408,300.4586368,909,1
13,-907,300.3408046,908,0
14,-900,300.4201081,901,0
15,-902,300.2270584,902,0
16,-396,300.4362106,897,1
17,-380,300.4284489,881,1
18,121,300.4313612,880,2
19,-374,300.2134275,874,1
20,-875,300.2755525,875,0
21,-374,300.3646312,875,1
22,-372,300.3989902,873,1
23,-374,300.4644003,875,1
24,-872,300.572963,873,0
25,-373,300.33759,873,1
26,-873,300.4405053,874,0
27,-373,300.4053147,874,1
28,-364,300.1837595,864,1
29,-372,300.4886436,873,1
