Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-1021,300.3723328,1022,0
1,-983,300.462296,984,0
2,-451,300.4233632,952,1
3,-936,300.1526809,936,0
4,-431,300.4175358,932,1
5,-429,300.3133159,930,1
6,-425,300.4360139,926,1
7,-404,300.1440618,904,1
8,-389,300.4603791,890,1
9,-362,300.4996755,863,1
10,-364,300.5076926,865,1
11,-354,300.4463561,855,1
12,-353,300.2625117,853,1
13,-850,300.2950454,850,0
14,-352,300.5276055,853,1
15,-851,300.4640024,852,0
16,-339,300.2077923,839,1
17,-325,300.3536475,825,1
18,-323,300.3468881,824,1
19,-325,300.2301304,825,1
20,-321,300.3808994,822,1
21,-324,300.348531,825,1
22,-314,300.4121296,815,1
23,-295,300.2660327,795,1
24,-297,300.3562896,798,1
25,-294,300.3036621,794,1
26,-297,300.3954086,798,1
27,-296,300.5477865,797,1
28,-797,300.2392161,797,0
29,-297,300.2521284,797,0
