Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-526,300.3512359,1026,1
1,-505,300.1473329,1005,1
2,-483,300.2189841,983,1
3,-475,300.3603725,976,1
4,-448,300.2014856,948,1
5,-445,300.3916492,946,1
6,-437,300.2297807,937,1
7,-437,300.4288483,938,1
8,-431,300.3149562,932,1
9,-437,300.4176466,938,1
10,-411,300.4795551,912,1
11,-425,300.2704329,925,1
12,-411,300.3122981,912,1
13,-931,300.4903545,932,0
14,-432,300.3616335,933,1
15,-434,300.2696111,934,1
16,-932,300.4250329,933,0
17,-430,300.3020208,931,1
18,-429,300.2248383,929,1
19,-431,300.3555491,932,1
20,-932,300.2462442,932,0
21,-432,300.2526033,932,1
22,-925,300.2350054,925,0
23,-416,300.4427559,917,1
24,-915,300.2400413,915,0
25,-915,300.20366,915,0
26,-917,300.2080116,917,0
27,-416,300.35639,917,1
28,-911,300.4183109,912,0
29,-398,300.2414172,898,1
