Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-477,300.3457825,978,1
1,-455,300.3549013,956,1
2,-413,300.2219672,913,1
3,-359,300.3392966,859,1
4,-861,300.5002513,862,0
5,-359,300.4354856,859,1
6,-854,300.5327749,855,0
7,-346,300.2109034,846,1
8,-343,300.2134476,843,1
9,-323,300.2692807,823,1
10,-323,300.3525524,823,1
11,-322,300.1592617,822,1
12,-324,300.3426797,824,1
13,-323,300.2838848,823,1
14,-325,300.4242408,825,1
15,-324,300.3456793,824,1
16,-324,300.1796589,824,1
17,-323,300.4355984,824,1
18,-324,300.5042572,825,1
19,-322,300.4497015,823,1
20,-323,300.4495547,824,1
21,-319,300.3970311,820,1
22,-799,300.324549,799,0
23,-298,300.3791487,798,1
24,-296,300.215816,796,1
25,-295,300.3988771,796,1
26,-296,300.4998648,797,1
27,-797,300.2351108,797,0
28,-297,300.5793262,798,1
29,-797,300.4274657,798,0
