Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-508,298.9824882,1009,1
1,-511,300.412863,1012,1
2,-454,300.385232,955,1
3,-446,300.2862716,946,1
4,-427,300.2130549,927,1
5,-914,300.3751624,915,0
6,-408,300.3502843,908,1
7,-902,300.3798051,903,0
8,-892,300.2619879,892,0
9,-891,300.3628726,891,0
10,-387,300.5178936,888,1
11,-389,300.3055921,889,1
12,-390,300.187983,890,1
13,-388,300.417762,889,1
14,-389,300.3352516,889,1
15,-390,300.3516591,890,1
16,-387,300.3711579,888,1
17,-885,300.3382797,886,0
18,-374,300.3226304,875,1
19,127,300.1569932,873,2
20,-872,300.4289412,873,0
21,-367,300.249645,867,1
22,-344,300.4344947,845,1
23,-346,300.1997004,846,1
24,-346,300.2879827,846,1
25,155,300.3640115,846,2
26,-345,300.3212013,845,1
27,-830,300.5261664,831,0
28,-337,300.271693,837,1
29,-342,300.5421772,843,1
