Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-642,300.7716002,643,0
1,-94,300.7293217,595,1
2,-568,300.929579,569,0
3,-522,300.5394683,522,0
4,-31,300.3809528,531,1
5,-19,300.9091334,520,1
6,-39,300.6386762,540,1
7,-22,300.6807575,523,1
8,-28,300.8803446,529,1
9,62,301.0216117,439,1
10,55,300.8795612,446,1
11,641,798.0612624,1360,4
12,-715,719.989538,1215,1
13,-139,310.1500416,640,1
14,29,300.6242962,471,1
15,51,300.9138854,450,1
16,-438,301.1338615,439,0
17,76,300.731128,424,1
18,-443,310.1485589,444,0
19,57,301.0444636,444,1
20,86,300.6231775,414,1
21,570,301.006542,431,2
22,75,301.38395,426,1
23,-434,301.207741,435,0
24,56,309.2826412,445,1
25,-32,363.1162498,533,1
26,41,306.2989798,460,1
27,20,311.9769926,480,1
28,53,440.6857285,448,1
29,-498,343.1042786,499,0
