Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-110,294.1438963,611,1
1,-76,300.6711063,577,1
2,-561,300.6748118,562,0
3,-57,300.6800652,558,1
4,-50,300.680325,551,1
5,-536,300.8113234,537,0
6,-28,300.6461959,529,1
7,-517,300.6015787,517,0
8,-513,300.5281076,513,0
9,-494,300.8619144,495,0
10,-493,300.5448363,493,0
11,-1,300.7111545,502,1
12,540,300.9273784,461,2
13,84,300.7290375,417,1
14,82,300.7209044,419,1
15,-417,300.7571044,418,0
16,-346,300.8447163,347,0
17,-419,301.0150573,420,0
18,81,300.8486693,420,1
19,96,300.6929517,405,1
20,77,300.9588625,424,1
21,592,301.1681387,409,2
22,65,300.9872024,436,1
23,14,300.620095,486,1
24,-495,300.89483,496,0
25,6,300.8505168,495,1
26,9,300.8448558,492,1
27,4,300.955848,497,1
28,2,300.7090549,499,1
29,12,300.6921833,489,1
