Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-593,300.6226132,594,0
1,-145,300.6884563,646,1
2,-613,300.4629157,613,0
3,-554,300.660038,555,0
4,7,300.9395695,494,1
5,70,300.8827901,431,1
6,63,300.8521013,438,1
7,-6,300.4230919,507,1
8,7,300.9179931,494,1
9,7,300.9108999,494,1
10,-480,300.8390546,481,0
11,36,300.5946605,464,1
12,43,300.6594796,457,1
13,87,300.8609798,414,1
14,30,300.9219739,471,1
15,527,300.9760923,474,2
16,-438,301.0839458,439,0
17,0,301.4301112,0,0
18,-391,301.2735479,392,0
19,113,310.5382421,388,1
20,118,301.4677756,383,1
21,607,300.941431,394,2
22,123,301.2756989,378,1
23,154,300.8203311,346,1
24,654,301.1535237,347,2
25,156,301.1389852,345,1
26,158,301.3848963,343,1
27,160,301.2370043,341,1
28,164,301.0885606,337,1
29,155,301.3777523,346,1
