Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-242,298.2624791,742,1
1,-144,300.5393376,644,1
2,-613,300.30392,613,0
3,-30,300.8044374,531,1
4,-60,300.5798838,560,1
5,1010,300.6160648,491,3
6,-97,325.5076451,598,1
7,13,300.8028743,488,1
8,-35,300.647366,535,1
9,39,300.594044,461,1
10,95,300.6723084,405,1
11,100,300.999269,401,1
12,101,300.6563003,399,1
13,108,301.0620322,393,1
14,82,300.7877257,419,1
15,0,300.6484942,0,0
16,-512,300.9078317,513,0
17,19,300.7635763,482,1
18,-19,300.6930685,519,1
19,-25,300.9178448,526,1
20,-40,300.6744022,541,1
21,-29,300.4882388,529,1
22,-37,300.7053034,538,1
23,477,300.8156865,524,2
24,-5,300.5708287,505,1
25,-2,300.5937731,502,1
26,-21,300.8940597,522,1
27,-4,300.6362371,505,1
28,122,301.2490416,379,1
29,-406,301.0757196,407,0
