Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-560,300.4042797,1061,1
1,-560,300.2503793,1060,1
2,-1024,300.3522694,1024,0
3,-470,300.2481661,970,1
4,-451,300.3984509,952,1
5,-445,300.4175632,946,1
6,68,300.2981083,933,2
7,-416,300.1979394,916,1
8,-393,300.3994269,894,1
9,-891,300.370564,892,0
10,113,300.258425,887,2
11,-361,300.4821644,862,1
12,-357,300.266994,857,1
13,-356,300.5498466,857,1
14,-355,300.2195609,855,1
15,-355,300.1957655,855,1
16,-352,300.2596781,852,1
17,-352,300.4627445,853,1
18,-352,300.2803712,852,1
19,-352,300.5433953,853,1
20,-351,300.3612127,852,1
21,-352,300.5439045,853,1
22,-352,300.4464924,853,1
23,-351,300.2705617,851,1
24,-342,300.2357848,842,1
25,-341,300.4291823,842,1
26,-342,300.2704005,842,1
27,-841,300.3479838,842,0
28,-342,300.4231038,843,1
29,-342,300.3013732,842,1
